base_size,layer_index,petal_index,opening_degree,base_width,length,curvature,twist_angle,thickness
1.1831,1,0,0.0523,0.283668,0.469744,0.824578,0.0,0.034278
1.1831,1,1,0.0523,0.262897,0.498969,0.808512,28.0608,0.031347
1.1831,1,2,0.0523,0.277837,0.476063,0.923434,53.242,0.033611
1.1831,1,3,0.0523,0.289611,0.497141,0.899089,83.7973,0.031967
1.1831,1,4,0.0523,0.269947,0.474205,0.873609,110.0916,0.03359
1.1831,2,0,0.0523,0.299181,0.692281,0.613864,0.0,0.032901
1.1831,2,1,0.0523,0.304285,0.733497,0.56163,33.372,0.032607
1.1831,2,2,0.0523,0.333821,0.669718,0.548182,73.3241,0.03201
1.1831,2,3,0.0523,0.324503,0.651086,0.615259,105.3884,0.029249
1.1831,2,4,0.0523,0.313937,0.648029,0.547373,139.1789,0.030433
1.1831,2,5,0.0523,0.335293,0.660858,0.599773,165.8855,0.030988
1.1831,2,6,0.0523,0.304443,0.714661,0.558487,209.1931,0.031504
1.1831,2,7,0.0523,0.33183,0.668031,0.629621,235.4084,0.029495
1.1831,3,0,0.0523,0.344278,0.946051,0.280261,0.0,0.028379
1.1831,3,1,0.0523,0.355193,1.049912,0.329105,32.377,0.026577
1.1831,3,2,0.0523,0.351159,0.876108,0.283982,63.4395,0.028677
1.1831,3,3,0.0523,0.375709,0.919794,0.305757,94.5413,0.027757
1.1831,3,4,0.0523,0.328015,0.922681,0.284593,125.2319,0.025005
1.1831,3,5,0.0523,0.340086,1.013411,0.276268,158.0041,0.023977
1.1831,3,6,0.0523,0.33629,0.994005,0.31276,197.66,0.028175
1.1831,3,7,0.0523,0.339958,0.870037,0.296125,222.5997,0.029299
1.1831,3,8,0.0523,0.349684,1.047328,0.286869,257.9411,0.02735
1.1831,3,9,0.0523,0.378317,0.926583,0.266671,296.1212,0.027027
1.1831,3,10,0.0523,0.354809,1.04824,0.292547,317.841,0.027638
1.1831,3,11,0.0523,0.357607,0.980014,0.294173,345.2601,0.027446
1.1831,3,12,0.0523,0.409823,0.909746,0.284842,373.4107,0.025077
4.5294,1,0,0.2843,1.126391,1.800493,0.853284,0.0,0.1325
4.5294,1,1,0.2843,1.067006,2.083292,0.803855,28.3406,0.125735
4.5294,1,2,0.2843,1.129853,1.985091,0.797033,52.5709,0.136861
4.5294,1,3,0.2843,1.029824,1.878908,0.832239,80.2799,0.118255
4.5294,1,4,0.2843,1.092482,2.040917,0.859949,109.6202,0.143009
4.5294,2,0,0.2843,1.200056,2.906004,0.542417,0.0,0.111609
4.5294,2,1,0.2843,1.262913,2.650762,0.580919,33.9655,0.109735
4.5294,2,2,0.2843,1.217218,2.908889,0.582752,68.3304,0.119038
4.5294,2,3,0.2843,1.241877,2.51451,0.538037,101.3966,0.120037
4.5294,2,4,0.2843,1.28468,2.654877,0.614038,133.4452,0.113231
4.5294,2,5,0.2843,1.168536,2.886114,0.545357,179.322,0.113742
4.5294,2,6,0.2843,1.127047,2.607104,0.593039,209.1563,0.111712
4.5294,2,7,0.2843,1.172679,2.645778,0.529276,232.7642,0.123499
4.5294,3,0,0.2843,1.391337,4.117148,0.277036,0.0,0.102127
4.5294,3,1,0.2843,1.399696,3.951303,0.291417,30.9597,0.103716
4.5294,3,2,0.2843,1.331062,4.116999,0.297193,64.9172,0.098455
4.5294,3,3,0.2843,1.284112,4.188942,0.281298,98.9421,0.102193
4.5294,3,4,0.2843,1.339799,3.578854,0.264566,129.173,0.091605
4.5294,3,5,0.2843,1.370861,3.906544,0.288245,153.8645,0.107953
4.5294,3,6,0.2843,1.357339,4.021717,0.277912,189.4971,0.107782
4.5294,3,7,0.2843,1.358707,4.014718,0.287801,225.8636,0.110888
4.5294,3,8,0.2843,1.342967,4.099069,0.274558,253.5312,0.096199
4.5294,3,9,0.2843,1.376746,3.738827,0.272547,290.3318,0.107643
4.5294,3,10,0.2843,1.367037,3.878087,0.281057,334.8183,0.103632
4.5294,3,11,0.2843,1.437424,3.90981,0.273724,336.0696,0.105209
4.5294,3,12,0.2843,1.331669,4.232094,0.286338,375.9836,0.101472
1.5248,1,0,0.8243,0.339203,0.738596,0.718684,0.0,0.040393
1.5248,1,1,0.8243,0.391564,0.748532,0.631979,28.2261,0.041595
1.5248,1,2,0.8243,0.366076,0.741483,0.66369,54.8644,0.040976
1.5248,1,3,0.8243,0.345182,0.80194,0.670589,81.0981,0.04528
1.5248,1,4,0.8243,0.332293,0.767271,0.766784,105.6107,0.04091
1.5248,2,0,0.8243,0.415684,1.026966,0.472176,0.0,0.033178
1.5248,2,1,0.8243,0.414842,1.086075,0.469561,34.4492,0.035832
1.5248,2,2,0.8243,0.419333,1.084879,0.441575,66.0297,0.036742
1.5248,2,3,0.8243,0.416455,0.994473,0.450105,100.3085,0.03647
1.5248,2,4,0.8243,0.412853,1.005205,0.440662,140.8824,0.036838
1.5248,2,5,0.8243,0.400304,1.058414,0.475307,177.6706,0.040891
1.5248,2,6,0.8243,0.439363,1.04905,0.467037,207.1769,0.034505
1.5248,2,7,0.8243,0.434171,1.070183,0.404149,246.4011,0.036844
1.5248,3,0,0.8243,0.436725,1.484872,0.21989,0.0,0.036223
1.5248,3,1,0.8243,0.491489,1.414166,0.216492,32.3028,0.03177
1.5248,3,2,0.8243,0.473397,1.434097,0.23131,63.6454,0.032805
1.5248,3,3,0.8243,0.428343,1.553236,0.242753,94.0184,0.033039
1.5248,3,4,0.8243,0.437692,1.542297,0.218727,126.8725,0.033182
1.5248,3,5,0.8243,0.477732,1.483376,0.229597,155.9207,0.034699
1.5248,3,6,0.8243,0.488986,1.454719,0.230139,187.0723,0.032552
1.5248,3,7,0.8243,0.463899,1.686882,0.218869,227.2061,0.030245
1.5248,3,8,0.8243,0.453978,1.365105,0.209109,247.5938,0.034034
1.5248,3,9,0.8243,0.445,1.474644,0.224934,288.5809,0.036478
1.5248,3,10,0.8243,0.470028,1.570249,0.226858,307.7004,0.034553
1.5248,3,11,0.8243,0.486711,1.439724,0.208004,355.0916,0.033771
1.5248,3,12,0.8243,0.473805,1.67846,0.248342,386.906,0.034275
2.2663,1,0,0.6379,0.588488,1.025802,0.775775,0.0,0.061048
2.2663,1,1,0.6379,0.527184,1.109876,0.766776,27.4392,0.065604
2.2663,1,2,0.6379,0.521055,1.061368,0.721658,54.445,0.063654
2.2663,1,3,0.6379,0.54389,1.142161,0.732591,81.6193,0.061316
2.2663,1,4,0.6379,0.548263,1.08988,0.68916,110.3,0.058255
2.2663,2,0,0.6379,0.63981,1.506514,0.483909,0.0,0.057008
2.2663,2,1,0.6379,0.64482,1.549663,0.47417,34.5947,0.051975
2.2663,2,2,0.6379,0.600124,1.582752,0.473235,69.8877,0.057684
2.2663,2,3,0.6379,0.595621,1.469746,0.506451,100.4432,0.057729
2.2663,2,4,0.6379,0.62435,1.507685,0.506899,142.7411,0.058519
2.2663,2,5,0.6379,0.644604,1.582046,0.485858,165.0809,0.057847
2.2663,2,6,0.6379,0.593376,1.620454,0.495617,206.0337,0.052955
2.2663,2,7,0.6379,0.578018,1.606067,0.489392,242.8667,0.059078
2.2663,3,0,0.6379,0.65035,2.131613,0.253614,0.0,0.05088
2.2663,3,1,0.6379,0.612351,2.162881,0.241756,32.3759,0.051901
2.2663,3,2,0.6379,0.698828,2.21442,0.247805,62.4855,0.053482
2.2663,3,3,0.6379,0.681848,2.147622,0.2505,98.309,0.05244
2.2663,3,4,0.6379,0.644828,2.185248,0.221439,127.081,0.050208
2.2663,3,5,0.6379,0.680654,2.016594,0.228479,161.6094,0.050221
2.2663,3,6,0.6379,0.685788,2.112861,0.245647,183.9462,0.053701
2.2663,3,7,0.6379,0.633162,2.088607,0.242065,226.7579,0.047566
2.2663,3,8,0.6379,0.682146,2.369711,0.253463,252.8551,0.048973
2.2663,3,9,0.6379,0.636282,2.056549,0.258215,285.99,0.046985
2.2663,3,10,0.6379,0.627647,2.100737,0.270478,315.8962,0.050563
2.2663,3,11,0.6379,0.72256,2.187581,0.230864,347.916,0.050494
2.2663,3,12,0.6379,0.637098,2.216787,0.233281,389.8766,0.048383
2.7655,1,0,0.8209,0.671129,1.399517,0.684356,0.0,0.07217
2.7655,1,1,0.8209,0.627129,1.403424,0.674297,27.7661,0.0716
2.7655,1,2,0.8209,0.67664,1.252648,0.66225,54.9458,0.070537
2.7655,1,3,0.8209,0.647743,1.317621,0.677269,81.4932,0.07378
2.7655,1,4,0.8209,0.627366,1.443472,0.679611,106.6009,0.071563
2.7655,2,0,0.8209,0.77861,2.004704,0.472748,0.0,0.064956
2.7655,2,1,0.8209,0.740935,2.031041,0.480657,35.7104,0.061342
2.7655,2,2,0.8209,0.754715,1.816073,0.482139,68.4183,0.068279
2.7655,2,3,0.8209,0.734014,2.006262,0.417048,102.7588,0.063584
2.7655,2,4,0.8209,0.699413,1.961608,0.463553,138.5309,0.073507
2.7655,2,5,0.8209,0.686101,1.950935,0.493874,176.6432,0.06688
2.7655,2,6,0.8209,0.707835,2.115379,0.455451,214.474,0.065004
2.7655,2,7,0.8209,0.722193,1.943279,0.418449,249.1318,0.074092
2.7655,3,0,0.8209,0.850047,2.727366,0.209701,0.0,0.059296
